EventID TrackID        Etotal          Ekin   Hit time             x             y             z    xOrigin    yOrigin    zOrigin   direction-x   direction-y   direction-z     Max Depth    Max Radius  Logical Volume         Process        Category 
    (-)     (-)          (eV)          (eV)       (ns)          (nm)          (nm)          (nm)       (nm)       (nm)       (nm)           (-)           (-)           (-)          (nm)          (nm) 
     29       2  1.072191e+01  1.072191e+01  1.549e-06  1.031049e+00  1.090030e-01  1.000000e+00  0.000e+00  1.019e-02 -1.773e-01  5.532550e-01  2.339280e-01  7.994915e-01 -3.279713e-01  1.036795e+00  <LogSample>  <DielIoni>  <SE> 
     30      65  1.074540e+01  1.074540e+01  2.635e-06  8.073253e-01 -1.786032e+00  1.000000e+00  2.020e-02 -6.482e-02 -7.348e-01  5.240747e-01 -4.367921e-01  7.311350e-01 -1.263728e+00  1.960021e+00  <LogSample>  <DielIoni>  <SE> 
     36      64  4.934752e+00  4.934752e+00  4.947e-05  5.692463e+00 -9.720736e+00  1.000000e+00  1.749e-01 -3.993e-01 -6.372e+00  6.792947e-01  2.299938e-01  6.968942e-01 -7.487393e+00  1.329683e+01  <LogSample>  <DielIoni>  <SE> 
     41       1  9.666623e+02  9.666623e+02  1.673e-06  1.660569e+01  6.105584e+00  1.000000e+00  0.000e+00  0.000e+00  1.000e+01  4.463049e-01 -4.535133e-02  8.937311e-01 -5.036288e+00  1.769257e+01  <samplecontainer>  <PE>  <BSE> 
     41       3  6.742565e+00  6.742565e+00  8.467e-06 -5.668242e-01  1.626869e+00  1.000000e+00  1.592e-01  4.663e-02 -2.541e+00  1.066812e-01 -1.766023e-01  9.784839e-01 -2.541080e+00  1.988507e+00  <LogSample>  <DielIoni>  <SE> 
     42       4  1.115336e+00  1.115336e+00  4.212e-06 -1.142332e+00  1.238112e-01  1.000000e+00 -1.765e-04  5.918e-03 -6.771e-01 -6.660789e-02  2.946525e-01  9.532803e-01 -8.567783e-01  1.254504e+00  <LogSample>  <DielIoni>  <SE> 
     42      62  3.540673e+00  3.540673e+00  5.750e-06  7.382479e-01 -7.285642e-02  1.000000e+00  3.540e-02 -3.377e-01 -6.396e-01  4.606424e-02 -1.369174e-01  9.895108e-01 -1.298474e+00  1.230913e+00  <LogSample>  <DielIoni>  <SE> 
     43       2  6.251144e+00  6.251144e+00  4.226e-06  8.310349e-01  1.105925e+00  1.000000e+00  0.000e+00  1.012e-02 -1.112e-01  6.118977e-01  4.336780e-01  6.614413e-01 -1.051845e+00  1.383362e+00  <LogSample>  <DielIoni>  <SE> 
     47       1  9.207299e+02  9.207299e+02  1.997e-06 -1.257116e+01 -1.318529e+00  1.000000e+00  0.000e+00  0.000e+00  1.000e+01  5.408888e-02 -9.468565e-01  3.170760e-01 -7.660779e+00  1.291415e+01  <samplecontainer>  <PE>  <BSE> 
     47       5  2.947840e+00  2.947840e+00  1.660e-05 -2.579583e-01 -3.655333e+00  1.000000e+00 -2.360e-01 -1.772e-01 -3.574e+00  6.993750e-01 -2.869430e-01  6.546284e-01 -3.691975e+00  3.664424e+00  <LogSample>  <DielIoni>  <SE> 
